GX,GY,GZ,AX,AY,AZ,IDX
x: -022.331023 , y: +046.453008 , z: -032.851450, ax: -6696 , ay: -1314 , az: -1826, index: 18
x: -023.367878 , y: +050.577344 , z: -033.376611, ax: -2294 , ay: -1222 , az: 2354, index: 18
x: -024.592305 , y: +055.379786 , z: -033.311878, ax: 11366 , ay: -276 , az: 4536, index: 18
x: -026.151115 , y: +055.499695 , z: -031.886443, ax: 20912 , ay: 506 , az: 6250, index: 18
x: -026.591420 , y: +052.477405 , z: -031.231786, ax: 13552 , ay: 2276 , az: 8538, index: 18
x: -025.592336 , y: +049.652977 , z: -032.229649, ax: 3432 , ay: 1664 , az: 2740, index: 18
x: -024.149893 , y: +048.116489 , z: -034.092244, ax: -2400 , ay: 458 , az: -1930, index: 18
x: -023.117221 , y: +046.967176 , z: -035.241557, ax: -4252 , ay: -164 , az: -3522, index: 18
x: -022.493954 , y: +045.562260 , z: -035.241557, ax: -4030 , ay: -316 , az: -3238, index: 18
x: -022.075634 , y: +043.948214 , z: -034.612550, ax: -3438 , ay: -450 , az: -3408, index: 18
x: -021.744763 , y: +042.368885 , z: -033.996336, ax: -4014 , ay: -754 , az: -4106, index: 18
x: -021.433130 , y: +041.525679 , z: -034.063023, ax: -3786 , ay: -1138 , az: -3966, index: 18
x: -021.097252 , y: +041.476214 , z: -034.894168, ax: -3478 , ay: -1262 , az: -4018, index: 18
x: -020.805496 , y: +041.871847 , z: -035.972702, ax: -3758 , ay: -986 , az: -4134, index: 18
x: -020.692000 , y: +042.361099 , z: -036.546595, ax: -3634 , ay: -456 , az: -3812, index: 18
x: -020.697496 , y: +042.817282 , z: -036.374992, ax: -3136 , ay: -208 , az: -3928, index: 18
x: -020.833435 , y: +043.180214 , z: -035.856244, ax: -1876 , ay: -246 , az: -3768, index: 18
x: -021.003206 , y: +043.580214 , z: -035.445863, ax: -1414 , ay: -178 , az: -3784, index: 18
x: -021.124397 , y: +044.182962 , z: -035.341344, ax: -900 , ay: 366 , az: -3334, index: 18
x: -021.084092 , y: +044.895634 , z: -035.418290, ax: -972 , ay: 350 , az: -3394, index: 18
x: -020.998595 , y: +045.691359 , z: -035.420733, ax: -686 , ay: -54 , az: -3686, index: 18
x: -020.977832 , y: +046.458992 , z: -035.265008, ax: -400 , ay: -438 , az: -3740, index: 18
x: -021.060550 , y: +047.175878 , z: -035.063664, ax: 100 , ay: -550 , az: -3434, index: 18
x: -021.127725 , y: +047.745649 , z: -034.852366, ax: 116 , ay: -412 , az: -3256, index: 18
x: -021.177802 , y: +048.201832 , z: -034.526260, ax: -6 , ay: -524 , az: -3284, index: 18
x: -021.249740 , y: +048.592855 , z: -034.175267, ax: 14 , ay: -650 , az: -3350, index: 18
x: -021.352336 , y: +049.050870 , z: -033.821069, ax: -142 , ay: -378 , az: -2974, index: 18
